"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","BlackBattleship","0","US14 - Criacao de Torneios","1","0","Fill tournament creation details","0"
"0","BlackBattleship","0","US12 - Filtro de Categorias na Loja","1","0","Shop category filtering","0"
"0","BlackBattleship","0","US20 - Definicoes de Som e Interface","1","0","Toggle sound setting","0"
"0","BlackBattleship","0","US24 - Redirecionamento para App Stores","1","0","Open app store","0"
