"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Opens the tournament creation flow, selects Battleship, fills the name, selects Best of 5 and submits.","10113","testUserStory14()","","2026-05-17","passed","2026-05-17","","iscteiul.ista.blackbattleship.selenide123010.tests.UserStory14SelenideTest","iscteiul.ista.blackbattleship.selenide123010.tests.UserStory14SelenideTest","testUserStory14"
"Opens the shop, selects Monsters/avatars and Emojis categories.","10300","testUserStory12()","","2026-05-17","passed","2026-05-17","","iscteiul.ista.blackbattleship.selenide123010.tests.UserStory12SelenideTest","iscteiul.ista.blackbattleship.selenide123010.tests.UserStory12SelenideTest","testUserStory12"
"Opens settings, disables sound, then enables it again.","7109","testUserStory20()","","2026-05-17","passed","2026-05-17","","iscteiul.ista.blackbattleship.selenide123010.tests.UserStory20SelenideTest","iscteiul.ista.blackbattleship.selenide123010.tests.UserStory20SelenideTest","testUserStory20"
"Clicks the mobile app badge and validates the external app store URL.","5127","testUserStory24()","","2026-05-17","passed","2026-05-17","","iscteiul.ista.blackbattleship.selenide123010.tests.UserStory24SelenideTest","iscteiul.ista.blackbattleship.selenide123010.tests.UserStory24SelenideTest","testUserStory24"
