"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Valida se a página apresenta elementos compatíveis com interação de disparo/jogada.","5309","testShootingInteractionSupportExists()","","2026-05-17","passed","2026-05-17","","iscteiul.ista.blackbattleship.selenide123023.tests.UserStory02SelenideTest","iscteiul.ista.blackbattleship.selenide123023.tests.UserStory02SelenideTest","testShootingInteractionSupportExists"
"Valida se existem botões, links ou elementos interativos para criar/interagir com uma partida.","5234","testActionControlsExist()","","2026-05-17","passed","2026-05-17","","iscteiul.ista.blackbattleship.selenide123023.tests.UserStory10SelenideTest","iscteiul.ista.blackbattleship.selenide123023.tests.UserStory10SelenideTest","testActionControlsExist"
"Valida se existem elementos interativos necessários para realizar jogadas.","5449","testInteractionElementsExist()","","2026-05-17","passed","2026-05-17","","iscteiul.ista.blackbattleship.selenide123023.tests.UserStory02SelenideTest","iscteiul.ista.blackbattleship.selenide123023.tests.UserStory02SelenideTest","testInteractionElementsExist"
"Valida se existe uma área de jogo ou tabuleiro visível.","5336","testGameAreaIsVisible()","","2026-05-17","passed","2026-05-17","","iscteiul.ista.blackbattleship.selenide123023.tests.UserStory01SelenideTest","iscteiul.ista.blackbattleship.selenide123023.tests.UserStory01SelenideTest","testGameAreaIsVisible"
"Valida se a página contém contexto textual associado a convite, partilha ou jogo online.","5520","testInviteOrShareContextExists()","","2026-05-17","passed","2026-05-17","","iscteiul.ista.blackbattleship.selenide123023.tests.UserStory10SelenideTest","iscteiul.ista.blackbattleship.selenide123023.tests.UserStory10SelenideTest","testInviteOrShareContextExists"
"Valida se a página apresenta estrutura compatível com geração inicial da frota.","6470","testInitialFleetStructureExists()","","2026-05-17","passed","2026-05-17","","iscteiul.ista.blackbattleship.selenide123023.tests.UserStory01SelenideTest","iscteiul.ista.blackbattleship.selenide123023.tests.UserStory01SelenideTest","testInitialFleetStructureExists"
"Valida se existem indícios funcionais associados a jogar, terminar ou reiniciar uma partida.","6640","testEndGameOrRestartCapabilityExists()","","2026-05-17","passed","2026-05-17","","iscteiul.ista.blackbattleship.selenide123023.tests.UserStory07SelenideTest","iscteiul.ista.blackbattleship.selenide123023.tests.UserStory07SelenideTest","testEndGameOrRestartCapabilityExists"
"Valida se a página apresenta informação de estado necessária para comunicar progresso ou fim de jogo.","5890","testGameStatusInformationExists()","","2026-05-17","passed","2026-05-17","","iscteiul.ista.blackbattleship.selenide123023.tests.UserStory07SelenideTest","iscteiul.ista.blackbattleship.selenide123023.tests.UserStory07SelenideTest","testGameStatusInformationExists"
"Valida se a página do Battleship carrega corretamente.","10354","testGamePageLoads()","","2026-05-17","passed","2026-05-17","","iscteiul.ista.blackbattleship.selenide123023.tests.UserStory01SelenideTest","iscteiul.ista.blackbattleship.selenide123023.tests.UserStory01SelenideTest","testGamePageLoads"
